Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.341396
0.00033096, 7.66982e-05, 1.13483, 0.257619, 0.0386984, 0.208152, 0.108968, 0.0916961, 0.0198641, 0.220112, 0.00185618, 0.00298233, 0.0219381, 13.4337, 0.0467232, 0.0022292, 10.1663, 0.00161241, 0.000180058, 0.0117726, 0.00485746, 0.000785589, 7.92467, 0.153645, 0.0119135, 0.00692222, 0.0421932, 0.0157054, 0.00496113, 0.0435284, 0.000134952, 0.000134699, 0.749841, 0.224247, 0.0707678, 0.0104635, 9.32004, 0.0166843, 0.0656444, 0.0143937, 0.00603586, 0.0543244, 0.0355806, 0.00674783, 0.0356191, 0.00500451, 0.0173255, 0.00941285, 0.248632, 0.33514, 

0.00033096, 7.66982e-05, 1.13483, 0.257619, 0.208152, 0.0198641, 0.00489492, 0.0656444, 0.0467232, 0.000180058, 0.00185618, 0.00298233, 0.0219381, 0.0022292, 0.00161241, 0.008187, 1.16116, 0.0707678, 0.0421932, 0.00156242, 0.00485746, 0.000785589, 7.92467, 0.153645, 0.0119135, 0.0318151, 1.54496, 0.00496113, 0.0143937, 0.00692222, 0.000134952, 0.000134699, 0.749841, 0.0104635, 0.0166843, 25.476, 11.2695, 0.0157054, 0.0386984, 0.0916961, 0.00603586, 0.0543244, 0.0355806, 0.00674783, 0.0356191, 0.00500451, 0.0173255, 0.00941285, 0.108968, 0.224247, 

0.00033096, 7.66982e-05, 0.257619, 0.0198641, 0.0656444, 21.1072, 0.00693879, 0.0707678, 0.00692222, 0.00161241, 0.00185618, 0.00298233, 0.0219381, 0.008187, 1.16116, 0.0421932, 0.00156242, 0.00489492, 0.00562105, 0.0157054, 0.000785589, 0.00386996, 0.153645, 0.0318151, 1.54496, 0.00496113, 0.0143937, 0.0467232, 0.0022292, 0.0119135, 0.000134952, 0.000134699, 0.749841, 0.0104635, 0.0166843, 11.2695, 0.0916961, 0.0386984, 0.108968, 0.000180058, 0.00603586, 0.0355806, 0.00674783, 0.00500451, 0.0173255, 0.00941285, 0.013163, 0.00485746, 0.208152, 0.224247, 

0.00033096, 7.66982e-05, 0.0198641, 10.6224, 0.00693879, 0.00692222, 1.2997, 0.00496113, 0.00156242, 0.0656444, 0.000398524, 0.00256206, 0.0219381, 0.008187, 1.16116, 0.00562105, 0.0157054, 0.00489492, 0.0421932, 0.0104635, 3.34871e-05, 0.00386996, 0.153645, 0.0318151, 1.54496, 0.0119135, 0.00333064, 0.0166843, 0.0386984, 0.0467232, 0.000134917, 0.000134699, 11.2695, 0.0916961, 0.000180058, 17.6056, 20.2382, 0.0143937, 0.00161241, 0.0022292, 0.00603586, 0.00674783, 0.00500451, 0.0173255, 0.00941285, 0.013163, 0.00485746, 0.00634479, 0.0707678, 0.108968, 

0.00033096, 7.66982e-05, 10.6224, 0.00692222, 0.196611, 0.00156242, 1.03097, 0.008187, 0.0198641, 0.0467232, 0.000398524, 0.00256206, 0.0157054, 0.00489492, 0.0421932, 0.0104635, 4.3196, 0.0318151, 0.00693879, 0.00562105, 3.34871e-05, 0.00386996, 0.0119135, 0.00333064, 0.0386984, 6.28167, 2.46545, 0.00161241, 0.0022292, 0.00496113, 1.86025e-05, 0.000134699, 0.0916961, 0.000180058, 0.0143937, 19.0512, 32.0873, 0.0656444, 0.0166843, 0.0219381, 0.00603586, 0.00674783, 0.00500451, 0.0173255, 0.00941285, 0.013163, 0.00485746, 0.00634479, 0.0707678, 0.108968, 

