Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
4.71587e-07
1.66557e-07, 2.87116e-07, 3.10775e-07, 5.88117e-05, 0.0002793, 4.67204e-05, 4.62122e-06, 3.75928e-05, 8.10135e-06, 0.000288029, 3.82726e-07, 4.37553e-07, 4.53007e-06, 1.94568e-07, 0.000147348, 7.03725e-05, 3.26695e-06, 3.7894e-07, 2.1029e-07, 6.95023e-05, 2.10331e-07, 2.57531e-07, 9.83968e-05, 0.000124658, 2.17302e-07, 2.86248e-07, 8.04353e-06, 7.17918e-05, 3.28786e-06, 4.94201e-05, 1.30188e-08, 2.60205e-07, 0.190856, 0.353967, 2.47918e-07, 0.00844555, 0.710879, 4.61963e-05, 0.000118355, 0.000212029, 3.09313e-05, 1.39158e-05, 4.27435e-06, 1.95057e-05, 3.38246e-06, 6.11167e-07, 3.0435e-05, 2.91821e-05, 0.000307004, 0.15708, 

1.66557e-07, 2.12481e-07, 5.88117e-05, 0.0002793, 4.67204e-05, 8.10135e-06, 0.000288029, 2.29152e-07, 3.7894e-07, 4.62122e-06, 3.82726e-07, 4.37553e-07, 4.53007e-06, 0.000147348, 7.03725e-05, 2.1029e-07, 0.25273, 6.95023e-05, 4.94201e-05, 1.94568e-07, 2.10331e-07, 2.03186e-07, 0.000124658, 2.17302e-07, 8.04353e-06, 7.17918e-05, 2.23192e-07, 1.77994e-05, 3.75928e-05, 3.10775e-07, 1.30188e-08, 1.58019e-07, 0.190856, 0.00844555, 0.710879, 4.61963e-05, 0.000212029, 2.47918e-07, 3.26695e-06, 3.28786e-06, 1.39158e-05, 4.27435e-06, 1.95057e-05, 3.38246e-06, 6.11167e-07, 2.91821e-05, 9.53741e-06, 2.87116e-07, 9.83968e-05, 0.000118355, 

1.66557e-07, 2.12481e-07, 5.88117e-05, 8.10135e-06, 0.000288029, 0.68185, 1.29094e-05, 1.94568e-07, 4.53007e-06, 3.7894e-07, 3.82726e-07, 8.50127e-09, 7.03725e-05, 2.1029e-07, 6.95023e-05, 4.94201e-05, 6.49608, 2.17302e-07, 4.62122e-06, 2.47918e-07, 2.10331e-07, 2.03186e-07, 0.000124658, 1.77994e-05, 3.10775e-07, 0.0426063, 0.595912, 4.67204e-05, 2.29152e-07, 3.28786e-06, 1.30188e-08, 1.58019e-07, 0.190856, 4.61963e-05, 0.000212029, 3.26695e-06, 0.0798687, 2.23192e-07, 3.75928e-05, 8.04353e-06, 1.39158e-05, 4.27435e-06, 1.95057e-05, 3.38246e-06, 6.11167e-07, 9.53741e-06, 2.87116e-07, 1.35189e-05, 7.17918e-05, 9.83968e-05, 

1.66557e-07, 2.12481e-07, 1.29094e-05, 4.53007e-06, 3.7894e-07, 1.39531, 1.07442e-06, 2.17302e-07, 1.62322e-07, 5.88117e-05, 1.31963e-09, 1.78513e-07, 2.1029e-07, 6.95023e-05, 6.49608, 2.47918e-07, 1.35425, 8.10135e-06, 3.28786e-06, 4.62122e-06, 2.10331e-07, 2.03186e-07, 0.000124658, 1.77994e-05, 0.595912, 4.67204e-05, 2.29152e-07, 1.79913e-05, 4.94201e-05, 3.10775e-07, 1.30188e-08, 1.58019e-07, 4.61963e-05, 3.26695e-06, 2.23192e-07, 8.04353e-06, 0.318424, 1.94568e-07, 3.75928e-05, 7.03725e-05, 4.27435e-06, 3.38246e-06, 6.11167e-07, 9.53741e-06, 2.87116e-07, 1.35189e-05, 2.24991e-06, 3.82726e-07, 7.17918e-05, 9.83968e-05, 

1.66557e-07, 2.12481e-07, 1.29094e-05, 4.53007e-06, 1.07442e-06, 1.62322e-07, 1.03979, 1.65859e-05, 2.47918e-07, 1.94568e-07, 1.31963e-09, 1.78513e-07, 6.95023e-05, 1.35425, 8.10135e-06, 3.28786e-06, 0.0239914, 3.7894e-07, 3.26695e-06, 4.61963e-05, 2.10331e-07, 2.03186e-07, 0.595912, 2.29152e-07, 4.94201e-05, 3.10775e-07, 0.159742, 2.17302e-07, 1.77994e-05, 8.04353e-06, 1.30188e-08, 1.58019e-07, 2.23192e-07, 0.318424, 3.75928e-05, 7.03725e-05, 0.293119, 1.79913e-05, 2.1029e-07, 4.62122e-06, 4.27435e-06, 3.38246e-06, 6.11167e-07, 9.53741e-06, 2.87116e-07, 2.24991e-06, 3.82726e-07, 9.99672e-06, 4.67204e-05, 5.88117e-05, 

1.66557e-07, 2.12481e-07, 1.29094e-05, 1.07442e-06, 1.62322e-07, 1.03979, 0.372762, 1.65859e-05, 2.17302e-07, 2.29152e-07, 1.31963e-09, 1.78513e-07, 6.95023e-05, 8.10135e-06, 3.28786e-06, 0.0543242, 0.00614157, 3.7894e-07, 2.47918e-07, 4.61963e-05, 2.10331e-07, 2.03186e-07, 4.94201e-05, 3.10775e-07, 0.159742, 1.77994e-05, 2.10676e-07, 8.04353e-06, 2.23192e-07, 3.26695e-06, 1.30188e-08, 1.58019e-07, 0.318424, 3.75928e-05, 1.79913e-05, 4.62122e-06, 5.52463, 2.1029e-07, 1.94568e-07, 4.53007e-06, 4.27435e-06, 3.38246e-06, 6.11167e-07, 9.53741e-06, 2.87116e-07, 2.24991e-06, 3.82726e-07, 2.13307e-07, 4.67204e-05, 5.88117e-05, 

1.66557e-07, 1.78513e-07, 1.29094e-05, 1.62322e-07, 0.139215, 2.17302e-07, 0.0815861, 1.07442e-06, 1.65859e-05, 3.28786e-06, 1.31963e-09, 4.6216e-09, 8.10135e-06, 0.0543242, 5.03235e-08, 0.0158394, 5.33935e-09, 2.29152e-07, 3.7894e-07, 4.62122e-06, 2.10331e-07, 2.03186e-07, 4.94201e-05, 0.159742, 1.77994e-05, 2.10676e-07, 0.693519, 8.04353e-06, 3.26695e-06, 2.1029e-07, 1.30188e-08, 1.58019e-07, 0.318424, 5.52463, 4.53007e-06, 3.21921, 0.965094, 2.23192e-07, 1.94568e-07, 3.10775e-07, 4.27435e-06, 3.38246e-06, 6.11167e-07, 2.87116e-07, 2.24991e-06, 3.82726e-07, 2.13307e-07, 2.12481e-07, 1.79913e-05, 3.75928e-05, 

