Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.00651352
1.55923e-09, 1.30558e-06, 0.0644216, 2.32868e-05, 9.48248e-05, 1.73219e-05, 1.20448e-06, 1.36559e-05, 2.24918e-05, 5.07556e-05, 1.63049e-07, 2.01421e-07, 0.00204077, 0.0228101, 9.53742e-08, 0.00139711, 0.0697673, 0.000330025, 0.000300645, 7.28129e-07, 7.6166e-08, 1.34663e-08, 1.93312, 3.55371e-06, 6.47969e-05, 3.17779, 3.50433, 0.000306146, 2.13448e-11, 0.000201965, 3.28399e-06, 1.35007e-06, 0.00495554, 1.51864e-05, 4.69211e-06, 0.350908, 0.000144216, 9.61698e-08, 2.7089e-05, 7.88649e-05, 0.000465228, 0.000220157, 0.000240245, 0.000199314, 0.000699882, 7.91348e-06, 0.000523501, 9.38119e-05, 0.000421594, 0.000479215, 

1.55923e-09, 1.78964e-08, 0.0644216, 9.48248e-05, 1.20448e-06, 0.138228, 0.0148198, 2.31094e-05, 2.32868e-05, 5.07556e-05, 1.63049e-07, 2.01421e-07, 0.0228101, 0.00139711, 9.91836e-05, 0.000300645, 0.41876, 2.13448e-11, 9.53742e-08, 1.73219e-05, 1.27318e-08, 1.34663e-08, 3.55371e-06, 6.47969e-05, 2.33522, 0.000306146, 0.000201965, 2.24918e-05, 1.36559e-05, 9.61698e-08, 3.28399e-06, 1.35007e-06, 0.00495554, 1.51864e-05, 4.69211e-06, 0.000144216, 1.01153, 7.28129e-07, 2.7089e-05, 7.88649e-05, 0.000465228, 0.000220157, 0.000240245, 0.000199314, 7.91348e-06, 0.000523501, 9.38119e-05, 2.21189e-05, 0.000421594, 0.000479215, 

1.55923e-09, 1.78964e-08, 0.0644216, 0.138228, 0.0148198, 2.32868e-05, 5.07556e-05, 9.48248e-05, 2.31094e-05, 1.36559e-05, 1.63049e-07, 2.01421e-07, 0.0228101, 0.000300645, 0.00384414, 9.53742e-08, 0.000225852, 2.7089e-05, 9.61698e-08, 1.20448e-06, 1.27318e-08, 1.24954e-08, 6.47969e-05, 0.00315737, 0.000306146, 0.000201965, 2.24918e-05, 2.13448e-11, 1.73219e-05, 3.55371e-06, 3.28399e-06, 1.35007e-06, 1.51864e-05, 0.000144216, 7.28129e-07, 7.88649e-05, 3.64004, 9.91836e-05, 4.69211e-06, 0.000421594, 0.000465228, 0.000220157, 0.000240245, 0.000199314, 7.91348e-06, 0.000523501, 9.38119e-05, 2.21189e-05, 0.000479215, 0.00139711, 

1.55923e-09, 1.78964e-08, 0.0148198, 2.32868e-05, 5.07556e-05, 1.36559e-05, 0.588112, 9.48248e-05, 0.000201965, 2.31094e-05, 1.63049e-07, 2.01421e-07, 0.00384414, 9.53742e-08, 9.61698e-08, 1.27951, 5.93069, 0.000306146, 4.69211e-06, 3.55371e-06, 1.27318e-08, 1.24954e-08, 6.47969e-05, 2.24918e-05, 2.13448e-11, 1.73219e-05, 1.83398, 7.28129e-07, 0.000300645, 1.20448e-06, 1.35007e-06, 2.03609e-06, 1.51864e-05, 0.000144216, 7.88649e-05, 9.91836e-05, 1.71121e-06, 0.000421594, 2.57472e-07, 0.000225852, 0.000465228, 0.000220157, 0.000240245, 0.000199314, 7.91348e-06, 9.38119e-05, 2.21189e-05, 3.28399e-06, 0.000479215, 0.00139711, 

1.55923e-09, 1.26651e-08, 0.0148198, 2.32868e-05, 5.07556e-05, 0.588112, 9.48248e-05, 2.47861e-09, 1.20448e-06, 3.55371e-06, 1.63049e-07, 2.01421e-07, 0.00384414, 9.53742e-08, 9.61698e-08, 5.07504, 2.27642, 0.000300645, 2.31094e-05, 7.88649e-05, 1.24954e-08, 4.53922e-09, 6.47969e-05, 2.24918e-05, 2.13448e-11, 1.73219e-05, 1.83398, 7.28129e-07, 4.69211e-06, 1.71121e-06, 3.60917e-07, 1.48731e-06, 1.51864e-05, 9.91836e-05, 2.57472e-07, 0.000225852, 13.9978, 1.36559e-05, 0.000144216, 0.000201965, 0.000220157, 0.000240245, 0.000199314, 7.91348e-06, 9.38119e-05, 2.21189e-05, 3.28399e-06, 1.78964e-08, 0.000306146, 0.000421594, 

